batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Imam-ul-Haq,14,15,2,0,93.33333333333333,MA Starc,4.0,29.0,2.0,0.0,3.0,7.25
Babar Azam,6,7,1,0,85.71428571428571,SA Abbott,4.0,14.0,2.0,0.0,0.0,3.5
Mohammad Rizwan,0,1,0,0,0.0,KW Richardson,4.0,18.0,3.0,0.0,0.0,4.5
Haris Sohail,8,16,0,0,50.0,B Stanlake,4.0,19.0,0.0,0.0,1.0,4.75
Iftikhar Ahmed,45,37,6,0,121.62162162162163,AC Agar,4.0,25.0,1.0,0.0,0.0,6.25
Khushdil Shah,8,11,0,0,72.72727272727273,,,,,,,
Imad Wasim,6,6,0,0,100.0,,,,,,,
Shadab Khan,1,8,0,0,12.5,,,,,,,
Mohammad Hasnain,4,10,1,0,40.0,,,,,,,
Mohammad Amir,9,9,0,1,100.0,,,,,,,
