batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
MD Gunathilaka,11,13,2,0,84.61538461538461,MA Starc,4.0,18.0,2.0,0.0,0.0,4.5
BKG Mendis,0,3,0,0,0.0,KW Richardson,4.0,21.0,0.0,1.0,1.0,5.0
PBB Rajapaksa,2,6,0,0,33.33333333333333,PJ Cummins,4.0,27.0,2.0,0.0,0.0,6.75
BOP Fernando,13,21,1,0,61.904761904761905,A Zampa,4.0,14.0,3.0,0.0,0.0,3.5
MDKJ Perera,16,16,1,0,100.0,AC Agar,4.0,13.0,1.0,0.0,0.0,3.25
MD Shanaka,17,18,1,1,94.44444444444444,,,,,,,
PWH de Silva,5,10,0,0,50.0,,,,,,,
SL Malinga,13,19,1,0,68.42105263157895,,,,,,,
PADLR Sandakan,6,7,1,0,85.71428571428571,,,,,,,
CAK Rajitha,0,2,0,0,0.0,,,,,,,
N Pradeep,8,6,1,0,133.33333333333331,,,,,,,
