batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
MD Gunathilaka,21,22,2,1,95.45454545454545,KW Richardson,3.0,17.0,0.0,0.0,1.0,5.666666666666667
BKG Mendis,1,4,0,0,25.0,B Stanlake,4.0,23.0,2.0,0.0,1.0,5.75
WIA Fernando,17,16,1,0,106.25,PJ Cummins,4.0,29.0,2.0,0.0,1.0,7.25
MDKJ Perera,27,19,2,1,142.10526315789474,AC Agar,4.0,27.0,2.0,0.0,0.0,6.75
N Dickwella,5,3,1,0,166.66666666666669,A Zampa,4.0,20.0,2.0,0.0,0.0,5.0
MD Shanaka,1,3,0,0,33.33333333333333,,,,,,,
PWH de Silva,10,11,0,0,90.9090909090909,,,,,,,
I Udana,10,14,0,0,71.42857142857143,,,,,,,
PADLR Sandakan,10,14,1,0,71.42857142857143,,,,,,,
SL Malinga,9,5,2,0,180.0,,,,,,,
N Pradeep,2,3,0,0,66.66666666666666,,,,,,,
