batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
BRM Taylor,0,5,0,0,0.0,Mohammad Saifuddin,4.0,14.0,1.0,0.0,0.0,3.5
H Masakadza,25,25,3,0,100.0,Shakib Al Hasan,4.0,28.0,1.0,0.0,0.0,7.0
RW Chakabva,0,2,0,0,0.0,Shafiul Islam,4.0,36.0,3.0,0.0,1.0,9.0
SC Williams,2,5,0,0,40.0,Mustafizur Rahman,4.0,38.0,2.0,0.0,1.0,9.5
CT Mutombodzi,11,9,0,1,122.22222222222223,Aminul Islam Biplob,4.0,18.0,2.0,0.0,1.0,4.5
RP Burl,1,3,0,0,33.33333333333333,,,,,,,
R Mutumbami,54,32,4,3,168.75,,,,,,,
N Madziva,9,15,0,0,60.0,,,,,,,
KM Jarvis,27,20,1,2,135.0,,,,,,,
A Ndlovu,2,4,0,0,50.0,,,,,,,
