batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
J Charles,11,5,0,0,220.00000000000003,KMA Paul,3.0,46.0,1.0,1.0,1.0,15.0
AD Hales,24,15,2,1,160.0,CJ Green,4.0,14.0,4.0,0.0,0.0,3.5
JP Greaves,11,10,2,0,110.00000000000001,Imran Tahir,4.0,22.0,2.0,0.0,0.0,5.5
JP Duminy,38,32,2,2,118.75,R Shepherd,2.0,13.0,1.0,0.0,0.0,6.5
JL Carter,0,4,0,0,0.0,Shoaib Malik,4.0,10.0,1.0,0.0,0.0,2.5
JO Holder,2,8,0,0,25.0,OF Smith,3.0,23.0,1.0,0.0,0.0,7.666666666666667
LS Boucher,8,12,1,0,66.66666666666666,,,,,,,
AR Nurse,11,11,0,1,100.0,,,,,,,
RA Reifer,11,13,1,0,84.61538461538461,,,,,,,
JK Lalor,10,6,0,1,166.66666666666669,,,,,,,
S Lamichhane,0,1,0,0,0.0,,,,,,,
