batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
J Charles,12,12,1,0,100.0,C Lamont,4.0,38.0,0.0,0.0,3.0,9.5
AD Hales,12,5,0,2,240.0,GH Worker,2.0,16.0,2.0,0.0,0.0,8.0
LS Boucher,15,14,2,0,107.14285714285714,Ramaal Lewis,4.0,23.0,2.0,0.0,0.0,5.75
JP Duminy,31,35,3,0,88.57142857142857,JW Dernbach,3.0,16.0,1.0,0.0,1.0,5.333333333333333
JO Holder,0,1,0,0,0.0,Zahir Khan,4.0,20.0,3.0,0.0,0.0,5.0
JL Carter,6,12,0,0,50.0,DC Green,3.0,23.0,1.0,0.0,0.0,7.666666666666667
AR Nurse,37,18,4,3,205.55555555555554,,,,,,,
RS Primus,1,5,0,0,20.0,,,,,,,
HR Walsh,2,3,0,0,66.66666666666666,,,,,,,
JK Lalor,6,7,0,0,85.71428571428571,,,,,,,
S Lamichhane,10,8,1,0,125.0,,,,,,,
