batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
DC Thomas,1,3,0,0,33.33333333333333,JP Duminy,1.0,9.0,0.0,0.0,0.0,9.0
E Lewis,12,9,3,0,133.33333333333331,JO Holder,4.0,37.0,2.0,0.0,2.0,9.25
LJ Evans,64,41,10,1,156.09756097560975,JK Lalor,4.0,36.0,1.0,0.0,1.0,9.0
JN Mohammed,12,10,1,1,120.0,S Lamichhane,4.0,22.0,3.0,0.0,0.0,5.5
SSJ Brooks,13,15,0,1,86.66666666666667,HR Walsh,4.0,33.0,2.0,0.0,0.0,8.25
CR Brathwaite,1,4,0,0,25.0,RS Primus,3.0,24.0,1.0,0.0,0.0,8.0
FA Allen,0,2,0,0,0.0,,,,,,,
Usama Mir,2,6,0,0,33.33333333333333,,,,,,,
RR Emrit,12,8,1,1,150.0,,,,,,,
AS Joseph,7,8,0,0,87.5,,,,,,,
DC Drakes,34,14,3,3,242.85714285714283,,,,,,,
