batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
RRS Cornwall,8,3,1,0,266.66666666666663,J Bishop,4.0,33.0,2.0,0.0,1.0,8.25
ADS Fletcher,14,15,2,0,93.33333333333333,JO Holder,4.0,24.0,2.0,0.0,0.0,6.0
CA Ingram,4,5,1,0,80.0,S Lamichhane,4.0,29.0,1.0,0.0,0.0,7.25
KAR Hodge,1,1,0,0,100.0,RA Reifer,2.0,11.0,1.0,0.0,0.0,5.5
C de Grandhomme,28,16,4,1,175.0,JK Lalor,1.0,4.0,1.0,0.0,1.0,4.0
DJG Sammy,2,8,0,0,25.0,,,,,,,
CD Barnwell,6,7,0,0,85.71428571428571,,,,,,,
GC Viljoen,31,21,0,3,147.61904761904762,,,,,,,
KOK Williams,1,10,0,0,10.0,,,,,,,
Fawad Ahmed,4,3,0,0,133.33333333333331,,,,,,,
