batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
SP Narine,17,8,3,0,212.5,Shakib Al Hasan,2.0,27.0,0.0,0.0,0.0,13.5
LMP Simmons,1,5,0,0,20.0,JO Holder,4.0,24.0,1.0,0.0,1.0,6.0
C Munro,16,18,0,1,88.88888888888889,HF Gurney,4.0,31.0,2.0,0.0,2.0,7.75
D Ramdin,21,24,2,0,87.5,HR Walsh,4.0,33.0,2.0,0.0,0.0,8.25
DM Bravo,2,8,0,0,25.0,AR Nurse,4.0,14.0,2.0,0.0,1.0,3.5
KA Pollard,23,16,0,2,143.75,RA Reifer,2.0,13.0,2.0,0.0,0.0,6.5
S Prasanna,51,27,4,4,188.88888888888889,,,,,,,
JPR Scantlebury-Searles,1,4,0,0,25.0,,,,,,,
CJ Jordan,5,5,1,0,100.0,,,,,,,
Ali Khan,1,1,0,0,100.0,,,,,,,
K Pierre,0,1,0,0,0.0,,,,,,,
