batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
YSD Seneveratne,6,9,0,0,66.66666666666666,RJ Trott,4.0,26.0,1.0,0.0,0.0,6.5
P Manning,28,32,4,0,87.5,JE Pitcher,3.0,14.0,0.0,0.0,1.0,4.666666666666667
OR Willis,15,20,0,1,75.0,DC Stovell,4.0,21.0,2.0,0.0,0.0,5.25
GM Strydom,23,14,1,2,164.28571428571428,DL Brangman,2.0,19.0,1.0,0.0,0.0,9.5
C Wright,4,3,1,0,133.33333333333331,OGL Bascome,4.0,15.0,0.0,0.0,0.0,3.75
LHB Harrington-Myers,13,16,1,0,81.25,AC Douglas,3.0,18.0,5.0,0.0,0.0,6.0
T Taylor,17,9,0,2,188.88888888888889,,,,,,,
AF Ifill,3,5,0,0,60.0,,,,,,,
Z McLaughlin,2,3,0,0,66.66666666666666,,,,,,,
KR Ebanks,0,2,0,0,0.0,,,,,,,
A Morris,1,3,0,0,33.33333333333333,,,,,,,
