batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
O Bascome,0,1,0,0,0.0,E Otieno,2.0,8.0,1.0,0.0,0.0,4.0
TS Fray,3,7,0,0,42.857142857142854,SO Ngoche,4.0,15.0,2.0,0.0,0.0,3.75
DC Stovell,4,5,0,0,80.0,LN Oluoch,2.0,6.0,0.0,0.0,0.0,3.0
JJ Tucker,22,33,1,0,66.66666666666666,CO Obuya,4.0,27.0,4.0,0.0,3.0,6.75
DMW Rawlins,37,26,5,2,142.30769230769232,NM Odhiambo,3.0,18.0,0.0,0.0,1.0,6.0
DAP Darrell,4,6,0,0,66.66666666666666,RR Patel,4.0,19.0,2.0,0.0,1.0,4.75
KS Leverock,3,4,0,0,75.0,,,,,,,
AC Douglas,2,9,0,0,22.22222222222222,,,,,,,
OGL Bascome,2,4,0,0,50.0,,,,,,,
RJ Trott,5,6,1,0,83.33333333333334,,,,,,,
GH O'Brien,6,12,0,0,50.0,,,,,,,
