batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
KS Leverock,0,2,0,0,0.0,JN Frylinck,4.0,20.0,1.0,0.0,1.0,5.0
TS Fray,16,12,3,0,133.33333333333331,C Viljoen,3.0,27.0,2.0,0.0,1.0,9.0
DMW Rawlins,6,14,1,0,42.857142857142854,JJ Smit,4.0,18.0,2.0,0.0,0.0,4.5
JJ Tucker,6,10,1,0,60.0,B Shikongo,3.0,15.0,0.0,0.0,2.0,5.0
DAP Darrell,2,6,0,0,33.33333333333333,BM Scholtz,4.0,17.0,3.0,0.0,0.0,4.25
MO Jones,5,11,0,0,45.45454545454545,CG Williams,2.0,8.0,1.0,0.0,0.0,4.0
OGL Bascome,1,2,0,0,50.0,,,,,,,
O Bascome,37,31,2,2,119.35483870967742,,,,,,,
RJ Trott,0,3,0,0,0.0,,,,,,,
DL Brangman,23,21,2,1,109.52380952380953,,,,,,,
S Smith,5,8,0,0,62.5,,,,,,,
