batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
O Bascome,6,5,0,1,120.0,N Pokana,3.0,18.0,2.0,0.0,0.0,6.0
DC Stovell,1,5,0,0,20.0,J Kila,1.0,5.0,1.0,0.0,0.0,5.0
JJ Tucker,4,5,1,0,80.0,N Vanua,3.0,14.0,3.0,0.0,0.0,4.666666666666667
DMW Rawlins,25,17,4,0,147.05882352941177,S Bau,1.0,3.0,0.0,0.0,0.0,3.0
KS Leverock,0,1,0,0,0.0,A Vala,2.0,10.0,1.0,0.0,0.0,5.0
DAP Darrell,0,1,0,0,0.0,L Siaka,1.0,11.0,0.0,0.0,0.0,11.0
MO Jones,11,17,0,0,64.70588235294117,CJA Amini,4.0,13.0,1.0,0.0,2.0,3.25
RJ Trott,19,27,2,0,70.37037037037037,D Ravu,2.0,10.0,1.0,0.0,0.0,5.0
AC Douglas,12,11,2,0,109.09090909090908,R Hekure,1.0,5.0,0.0,0.0,0.0,5.0
OGL Bascome,9,15,0,0,60.0,,,,,,,
