batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
NJ Dexter,0,1,0,0,0.0,FH Edwards,4.0,22.0,4.0,0.0,0.0,5.5
MJ Cosgrove,0,1,0,0,0.0,HJH Brookes,4.0,21.0,1.0,0.0,2.0,5.25
AM Lilley,1,3,0,0,33.33333333333333,AC Agar,4.0,25.0,1.0,0.0,0.0,6.25
HE Dearden,27,23,3,1,117.3913043478261,JS Patel,4.0,24.0,2.0,0.0,0.0,6.0
CN Ackermann,26,28,2,0,92.85714285714286,AT Thomson,2.0,9.0,0.0,0.0,0.0,4.5
LJ Hill,19,13,2,1,146.15384615384613,WMH Rhodes,2.0,13.0,1.0,2.0,0.0,5.5
BWM Mike,19,22,2,0,86.36363636363636,,,,,,,
CF Parkinson,7,13,0,0,53.84615384615385,,,,,,,
D Klein,8,8,1,0,100.0,,,,,,,
CJC Wright,2,5,0,0,40.0,,,,,,,
GT Griffiths,1,4,0,0,25.0,,,,,,,
