batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Z Abbasi,1,5,0,0,20.0,Z Groenewald,2.0,8.0,1.0,0.0,3.0,4.0
K Modise,0,1,0,0,0.0,C Viljoen,4.0,9.0,5.0,0.0,1.0,2.25
K Mothlhanka,4,7,1,0,57.14285714285714,BM Scholtz,3.0,9.0,2.0,0.0,0.0,3.0
T Phaswana,0,3,0,0,0.0,T Lungameni,1.0,13.0,0.0,0.0,1.0,13.0
V Balakrishnan,8,20,1,0,40.0,MG Erasmus,1.0,6.0,0.0,0.0,1.0,6.0
R Nehonde,0,2,0,0,0.0,JN Frylinck,1.0,1.0,1.0,0.0,0.0,1.0
JWN Moses,3,9,0,0,33.33333333333333,,,,,,,
A Rangaswamy,0,1,0,0,0.0,,,,,,,
N Master,21,16,4,0,131.25,,,,,,,
M Mooketsi,3,9,0,0,33.33333333333333,,,,,,,
