batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
M Bryant,18,16,2,1,112.5,Usman Shinwari,4.0,16.0,3.0,0.0,1.0,4.0
BB McCullum,50,47,3,1,106.38297872340425,JM Mennie,4.0,30.0,1.0,0.0,0.0,7.5
CA Lynn,14,15,0,1,93.33333333333333,JD Wildermuth,2.0,24.0,1.0,0.0,1.0,12.0
MT Renshaw,8,6,1,0,133.33333333333331,DT Christian,4.0,32.0,0.0,0.0,0.0,8.0
JJ Peirson,12,16,0,0,75.0,CJ Boyce,4.0,17.0,2.0,0.0,0.0,4.25
BCJ Cutting,20,10,2,1,200.0,Mohammad Nabi,2.0,14.0,0.0,0.0,1.0,7.0
JA Burns,2,4,0,0,50.0,,,,,,,
JL Pattinson,3,2,0,0,150.0,,,,,,,
MJ Swepson,2,3,0,0,66.66666666666666,,,,,,,
B Doggett,1,1,0,0,100.0,,,,,,,
