batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
T Banton,64,36,6,4,177.77777777777777,DJ Worrall,4.0,21.0,2.0,0.0,1.0,5.25
M Bryant,6,8,1,0,75.0,S Lamichhane,4.0,38.0,1.0,0.0,1.0,9.5
CA Lynn,6,9,0,0,66.66666666666666,Haris Rauf,4.0,20.0,2.0,0.0,1.0,5.0
MT Renshaw,39,30,2,1,130.0,A Zampa,4.0,30.0,3.0,0.0,0.0,7.5
BCJ Cutting,12,18,0,0,66.66666666666666,CD Hinchliffe,1.0,10.0,0.0,0.0,0.0,10.0
SD Heazlett,4,4,0,0,100.0,NJ Maddinson,2.0,12.0,0.0,0.0,0.0,6.0
JJ Peirson,3,5,0,0,60.0,GJ Maxwell,1.0,12.0,0.0,0.0,0.0,12.0
JK Lalor,4,5,0,0,80.0,,,,,,,
MJ Swepson,2,4,0,0,50.0,,,,,,,
B Laughlin,0,1,0,0,0.0,,,,,,,
