batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
JP Inglis,9,11,0,0,81.81818181818183,MT Renshaw,4.0,23.0,0.0,0.0,0.0,5.75
SE Marsh,2,6,0,0,33.33333333333333,Mujeeb Ur Rahman,4.0,16.0,3.0,0.0,0.0,4.0
CT Bancroft,32,24,4,0,133.33333333333331,MP Kuhnemann,4.0,22.0,2.0,0.0,1.0,5.5
AJ Turner,2,4,0,0,50.0,JK Lalor,3.0,23.0,3.0,0.0,1.0,7.666666666666667
MR Marsh,15,15,2,0,100.0,JA Prestwidge,3.0,26.0,0.0,0.0,2.0,8.666666666666666
NR Hobson,43,35,2,1,122.85714285714286,BCJ Cutting,2.0,16.0,1.0,0.0,0.0,8.0
CD Hinchliffe,9,12,0,0,75.0,,,,,,,
AJ Tye,4,6,0,0,66.66666666666666,,,,,,,
M Kelly,2,3,0,0,66.66666666666666,,,,,,,
JP Behrendorff,3,2,0,0,150.0,,,,,,,
Usman Qadir,1,2,0,0,50.0,,,,,,,
