batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
T Banton,16,7,1,2,228.57142857142856,DR Sams,3.0,34.0,2.0,0.0,3.0,11.333333333333334
M Bryant,11,10,1,1,110.00000000000001,JD Cook,4.0,29.0,2.0,0.0,1.0,7.25
CA Lynn,9,9,0,1,100.0,CP Tremain,4.0,27.0,1.0,0.0,3.0,6.75
MT Renshaw,26,24,2,1,108.33333333333333,CJ Green,4.0,19.0,2.0,0.0,1.0,4.75
SD Heazlett,12,12,1,0,100.0,AJ Nair,4.0,22.0,2.0,0.0,0.0,5.5
BCJ Cutting,28,18,2,2,155.55555555555557,N McAndrew,1.0,8.0,0.0,0.0,0.0,8.0
MT Steketee,15,17,1,1,88.23529411764706,,,,,,,
JK Lalor,1,2,0,0,50.0,,,,,,,
MJ Swepson,3,5,0,0,60.0,,,,,,,
B Laughlin,7,9,0,0,77.77777777777779,,,,,,,
Zahir Khan,3,3,0,0,100.0,,,,,,,
