batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
RA Thomas,12,14,2,0,85.71428571428571,K Christie,4.0,23.0,2.0,0.0,1.0,5.75
NS Dhaliwal,4,9,0,0,44.44444444444444,Aizaz Khan,4.0,34.0,1.0,0.0,0.0,8.5
NR Kumar,19,28,1,0,67.85714285714286,Nasrulla Rana,4.0,25.0,3.0,0.0,4.0,6.25
Ravinderpal Singh,13,16,1,0,81.25,Ehsan Khan,4.0,20.0,0.0,0.0,0.0,5.0
Rizwan Cheema,20,19,2,0,105.26315789473684,Haroon Arshad,2.0,4.0,1.0,0.0,0.0,2.0
Hamza Tariq,17,13,3,0,130.76923076923077,Waqas Barkat,2.0,11.0,0.0,0.0,0.0,5.5
N Dutta,12,9,1,0,133.33333333333331,,,,,,,
D Heyliger,0,3,0,0,0.0,,,,,,,
Abraash Khan,13,6,1,1,216.66666666666666,,,,,,,
Saad Bin Zafar,1,1,0,0,100.0,,,,,,,
JOA Gordon,1,2,0,0,50.0,,,,,,,
