batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
NJ Ferraby,0,2,0,0,0.0,JOA Gordon,3.0,14.0,3.0,0.0,1.0,4.666666666666667
H Carlyon,12,13,2,0,92.3076923076923,D Heyliger,3.0,20.0,3.0,0.0,5.0,6.666666666666667
BDH Stevens,3,4,0,0,75.0,Saad Bin Zafar,4.0,34.0,1.0,0.0,0.0,8.5
JW Jenner,56,32,5,3,175.0,N Dutta,3.0,24.0,1.0,0.0,3.0,8.0
NA Greenwood,7,6,1,0,116.66666666666667,NR Kumar,2.0,15.0,0.0,0.0,0.0,7.5
B Ward,14,15,0,1,93.33333333333333,NS Dhaliwal,2.0,12.0,1.0,0.0,0.0,6.0
DG Blampied,14,18,0,0,77.77777777777779,,,,,,,
AW Hawkins-Kay,2,4,0,0,50.0,,,,,,,
J Sumerauer,2,5,0,0,40.0,,,,,,,
JE Dunford,0,2,0,0,0.0,,,,,,,
CW Perchard,0,1,0,0,0.0,,,,,,,
