batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
SA Wijeratne,56,36,9,0,155.55555555555557,Fayyaz Butt,3.0,28.0,0.0,1.0,1.0,9.0
NS Dhaliwal,9,15,0,0,60.0,Bilal Khan,3.0,32.0,0.0,0.0,0.0,10.666666666666666
NR Kumar,22,19,1,0,115.78947368421053,Aamir Kaleem,4.0,24.0,1.0,0.0,1.0,6.0
NR Kirton,8,11,1,0,72.72727272727273,Khawar Ali,4.0,18.0,2.0,0.0,1.0,4.5
Ravinderpal Singh,21,20,1,0,105.0,Zeeshan Maqsood,4.0,25.0,3.0,0.0,0.0,6.25
Abraash Khan,15,13,0,0,115.38461538461537,Mohammad Nadeem,2.0,16.0,0.0,0.0,1.0,8.0
Hamza Tariq,2,2,0,0,100.0,,,,,,,
D Heyliger,3,2,0,0,150.0,,,,,,,
N Dutta,1,2,0,0,50.0,,,,,,,
GDR Eranga,1,1,0,0,100.0,,,,,,,
