batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
JS Malhotra,18,11,1,1,163.63636363636365,Junaid Siddiqui,4.0,22.0,0.0,0.0,0.0,5.5
MD Patel,26,15,0,3,173.33333333333334,GDR Eranga,4.0,39.0,0.0,1.0,1.0,9.5
Steven Ryan Taylor,10,5,1,1,200.0,Saad Bin Zafar,4.0,34.0,3.0,0.0,2.0,8.5
S Sohal,18,18,1,1,100.0,NR Kumar,3.0,23.0,2.0,0.0,0.0,7.666666666666667
Aaron Jones,8,12,0,0,66.66666666666666,MR Montfort,3.0,25.0,1.0,0.0,3.0,8.333333333333334
HR Walsh,28,25,2,1,112.00000000000001,NS Dhaliwal,2.0,11.0,1.0,0.0,0.0,5.5
NK Patel,0,2,0,0,0.0,,,,,,,
Jasdeep Singh,31,24,0,3,129.16666666666669,,,,,,,
SN Netravalkar,7,8,1,0,87.5,,,,,,,
TK Patel,1,1,0,0,100.0,,,,,,,
