batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Abraash Khan,22,22,5,0,100.0,Jasdeep Singh,4.0,42.0,2.0,0.0,2.0,10.5
Rizwan Cheema,19,10,3,1,190.0,SN Netravalkar,4.0,26.0,1.0,0.0,0.0,6.5
NS Dhaliwal,36,30,1,2,120.0,K Gore,4.0,21.0,3.0,0.0,0.0,5.25
NR Kumar,0,3,0,0,0.0,NK Patel,4.0,28.0,1.0,0.0,0.0,7.0
Ravinderpal Singh,67,33,2,8,203.03030303030303,Aaron Jones,1.0,16.0,0.0,0.0,0.0,16.0
Hamza Tariq,1,3,0,0,33.33333333333333,TK Patel,2.0,31.0,0.0,0.0,0.0,15.5
H Thaker,11,9,0,1,122.22222222222223,HR Walsh,1.0,8.0,1.0,0.0,0.0,8.0
Saad Bin Zafar,11,7,0,1,157.14285714285714,,,,,,,
MR Montfort,1,1,0,0,100.0,,,,,,,
Junaid Siddiqui,2,2,0,0,100.0,,,,,,,
