batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
YSD Seneveratne,8,12,2,0,66.66666666666666,Steven Ryan Taylor,2.0,5.0,1.0,0.0,0.0,2.5
P Manning,9,17,0,0,52.94117647058824,SN Netravalkar,2.0,9.0,0.0,0.0,2.0,4.5
OR Willis,1,8,0,0,12.5,K Gore,4.0,20.0,2.0,0.0,1.0,5.0
GM Strydom,2,5,0,0,40.0,NK Patel,4.0,8.0,2.0,0.0,0.0,2.0
AF Ifill,6,8,1,0,75.0,TK Patel,4.0,15.0,1.0,0.0,0.0,3.75
C Hauptfleisch,0,1,0,0,0.0,Aaron Jones,4.0,6.0,1.0,0.0,0.0,1.5
T Taylor,19,28,1,1,67.85714285714286,,,,,,,
C Wright,4,10,0,0,40.0,,,,,,,
KR Ebanks,4,9,0,0,44.44444444444444,,,,,,,
Z McLaughlin,4,13,0,0,30.76923076923077,,,,,,,
A Morris,3,9,0,0,33.33333333333333,,,,,,,
