batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
PP Shaw,5,6,1,0,83.33333333333334,DL Chahar,4.0,27.0,2.0,0.0,1.0,6.75
S Dhawan,18,14,3,0,128.57142857142858,SN Thakur,1.0,13.0,0.0,0.0,0.0,13.0
C Munro,27,24,4,0,112.5,Harbhajan Singh,4.0,31.0,2.0,0.0,0.0,7.75
SS Iyer,13,18,1,0,72.22222222222221,RA Jadeja,3.0,23.0,2.0,0.0,0.0,7.666666666666667
RR Pant,38,25,2,1,152.0,Imran Tahir,4.0,28.0,1.0,0.0,0.0,7.0
AR Patel,3,6,0,0,50.0,DJ Bravo,4.0,19.0,2.0,1.0,1.0,4.5
SE Rutherford,10,12,0,1,83.33333333333334,,,,,,,
KMA Paul,3,7,0,0,42.857142857142854,,,,,,,
A Mishra,6,3,1,0,200.0,,,,,,,
TA Boult,6,3,0,1,200.0,,,,,,,
I Sharma,10,3,1,1,333.33333333333337,,,,,,,
