batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
CA Lynn,0,5,0,0,0.0,DL Chahar,4.0,20.0,3.0,0.0,1.0,5.0
SP Narine,6,5,0,0,120.0,Harbhajan Singh,4.0,15.0,2.0,0.0,0.0,3.75
RV Uthappa,11,9,2,0,122.22222222222223,RA Jadeja,4.0,17.0,1.0,0.0,1.0,4.25
N Rana,0,3,0,0,0.0,SC Kuggeleijn,4.0,34.0,0.0,0.0,1.0,8.5
KD Karthik,19,21,3,0,90.47619047619048,Imran Tahir,4.0,21.0,2.0,0.0,0.0,5.25
Shubman Gill,9,12,0,0,75.0,,,,,,,
AD Russell,50,44,5,3,113.63636363636364,,,,,,,
PP Chawla,8,13,0,1,61.53846153846154,,,,,,,
Kuldeep Yadav,0,1,0,0,0.0,,,,,,,
M Prasidh Krishna,0,2,0,0,0.0,,,,,,,
HF Gurney,1,5,0,0,20.0,,,,,,,
