batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
V Kohli,6,12,0,0,50.0,DL Chahar,4.0,17.0,0.0,1.0,0.0,4.0
PA Patel,29,35,2,0,82.85714285714286,Harbhajan Singh,4.0,20.0,3.0,0.0,0.0,5.0
MM Ali,9,8,0,1,112.5,SK Raina,1.0,6.0,0.0,0.0,0.0,6.0
AB de Villiers,9,10,0,0,90.0,Imran Tahir,4.0,9.0,3.0,0.0,0.0,2.25
SO Hetmyer,0,2,0,0,0.0,RA Jadeja,4.0,15.0,2.0,0.0,0.0,3.75
S Dube,2,5,0,0,40.0,DJ Bravo,0.0,0.0,1.0,0.0,0.0,
C de Grandhomme,4,6,1,0,66.66666666666666,,,,,,,
NA Saini,2,3,0,0,66.66666666666666,,,,,,,
YS Chahal,4,12,0,0,33.33333333333333,,,,,,,
UT Yadav,1,10,0,0,10.0,,,,,,,
Mohammed Siraj,0,1,0,0,0.0,,,,,,,
