batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
AM Rahane,2,4,0,0,50.0,TA Boult,4.0,27.0,2.0,0.0,3.0,6.75
LS Livingstone,14,13,1,1,107.6923076923077,I Sharma,4.0,38.0,3.0,0.0,5.0,9.5
SV Samson,5,8,0,0,62.5,AR Patel,4.0,16.0,0.0,0.0,0.0,4.0
MK Lomror,8,3,2,0,266.66666666666663,A Mishra,4.0,17.0,3.0,0.0,0.0,4.25
S Gopal,12,18,0,0,66.66666666666666,KMA Paul,4.0,15.0,0.0,0.0,1.0,3.75
R Parag,50,49,4,2,102.04081632653062,SE Rutherford,0.0,2.0,0.0,0.0,0.0,inf
STR Binny,0,1,0,0,0.0,,,,,,,
K Gowtham,6,6,1,0,100.0,,,,,,,
IS Sodhi,6,11,0,0,54.54545454545454,,,,,,,
VR Aaron,3,7,0,0,42.857142857142854,,,,,,,
