batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
ND Laegsgaard,11,11,2,0,100.0,GRD Munasinghe,4.0,38.0,1.0,0.0,1.0,9.5
HAM Shah,28,28,1,0,100.0,NA Maiolo,4.0,29.0,1.0,1.0,0.0,7.0
Anique Uddin,1,1,0,0,100.0,Baljit Singh,4.0,20.0,4.0,0.0,2.0,5.0
Zishan Shah,50,36,5,1,138.88888888888889,MJ Ross,3.0,23.0,1.0,0.0,0.0,7.666666666666667
Rizwan Mahmood,37,19,2,3,194.73684210526315,Rakibul Hasan,2.0,20.0,0.0,0.0,0.0,10.0
Delawar Khan,2,5,0,0,40.0,Jaspreet Singh,3.0,26.0,1.0,0.0,0.0,8.666666666666666
J Jojo,9,8,0,0,112.5,,,,,,,
T Bharaj,1,3,0,0,33.33333333333333,,,,,,,
OD Hald,8,6,0,0,133.33333333333331,,,,,,,
Omar Hayat,5,3,0,0,166.66666666666669,,,,,,,
Bashir Shah,1,1,0,0,100.0,,,,,,,
