batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
BBJL Perera,11,14,0,0,78.57142857142857,ND Laegsgaard,4.0,24.0,2.0,0.0,0.0,6.0
Jaspreet Singh,8,11,0,0,72.72727272727273,OD Hald,4.0,18.0,3.0,0.0,0.0,4.5
NA Maiolo,25,20,2,1,125.0,Delawar Khan,3.0,21.0,1.0,1.0,0.0,6.666666666666667
Manpreet Singh,6,8,0,0,75.0,J Jojo,4.0,25.0,2.0,0.0,1.0,6.25
Rehman Abdul,4,7,0,0,57.14285714285714,Bashir Shah,4.0,24.0,2.0,0.0,1.0,6.0
GP Meade,18,18,0,1,100.0,Omar Hayat,1.0,11.0,0.0,0.0,0.0,11.0
MJ Ross,34,20,1,2,170.0,,,,,,,
Simranjit Singh,8,9,0,0,88.88888888888889,,,,,,,
Rakibul Hasan,5,5,0,0,100.0,,,,,,,
Baljit Singh,1,4,0,0,25.0,,,,,,,
GRD Munasinghe,0,2,0,0,0.0,,,,,,,
