batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
ND Laegsgaard,2,5,0,0,40.0,WJR Robertson,3.0,6.0,0.0,0.0,0.0,2.0
HAM Shah,16,14,2,1,114.28571428571428,AW Hawkins-Kay,3.0,30.0,2.0,0.0,0.0,10.0
T Bharaj,0,1,0,0,0.0,DG Blampied,4.0,27.0,0.0,0.0,0.0,6.75
Anique Uddin,7,16,0,0,43.75,CW Perchard,3.0,17.0,1.0,0.0,3.0,5.666666666666667
Zishan Shah,10,15,1,0,66.66666666666666,B Ward,4.0,22.0,0.0,0.0,0.0,5.5
Delawar Khan,0,1,0,0,0.0,EJB Miles,3.0,10.0,3.0,0.0,0.0,3.3333333333333335
Abdul Hashim,29,29,2,0,100.0,,,,,,,
SA Ahmad,25,30,1,0,83.33333333333334,,,,,,,
OD Hald,17,7,3,0,242.85714285714283,,,,,,,
J Jojo,3,2,0,0,150.0,,,,,,,
