batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
NJ Ferraby,0,2,0,0,0.0,ND Laegsgaard,4.0,25.0,1.0,0.0,0.0,6.25
C Bisson,25,14,5,0,178.57142857142858,J Jojo,3.0,16.0,0.0,0.0,0.0,5.333333333333333
BDH Stevens,10,9,2,0,111.11111111111111,Delawar Khan,2.0,10.0,1.0,0.0,0.0,5.0
JW Jenner,36,27,2,2,133.33333333333331,OD Hald,4.0,17.0,2.0,0.0,1.0,4.25
DG Blampied,19,20,2,0,95.0,Bashir Shah,2.0,19.0,0.0,0.0,0.0,9.5
AW Hawkins-Kay,9,16,0,0,56.25,SA Ahmad,1.0,12.0,0.0,0.0,0.0,12.0
B Ward,1,4,0,0,25.0,HAM Shah,4.0,23.0,4.0,0.0,0.0,5.75
JE Dunford,8,12,0,0,66.66666666666666,,,,,,,
CW Perchard,5,9,0,0,55.55555555555556,,,,,,,
EJB Miles,7,5,1,0,140.0,,,,,,,
WJR Robertson,1,2,0,0,50.0,,,,,,,
