batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
RE Levi,18,10,1,1,180.0,R Rampaul,3.0,15.0,2.0,0.0,0.0,5.0
AM Rossington,13,11,2,0,118.18181818181819,LV van Beek,3.0,29.0,0.0,0.0,1.0,9.666666666666666
RI Keogh,28,31,1,0,90.32258064516128,FJ Hudson-Prentice,2.0,2.0,2.0,0.0,0.0,1.0
JJ Cobb,15,15,2,0,100.0,WB Rankin,2.0,15.0,0.0,0.0,0.0,7.5
AG Wakely,13,16,0,0,81.25,AL Hughes,4.0,13.0,3.0,0.0,0.0,3.25
D Pretorius,1,6,0,0,16.666666666666664,MJJ Critchley,4.0,19.0,1.0,0.0,0.0,4.75
Faheem Ashraf,0,1,0,0,0.0,,,,,,,
TB Sole,2,10,0,0,20.0,,,,,,,
GG White,0,2,0,0,0.0,,,,,,,
BW Sanderson,2,4,0,0,50.0,,,,,,,
B Muzarabani,0,2,0,0,0.0,,,,,,,
