batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
S Steel,6,6,0,0,100.0,SJ Croft,1.0,9.0,0.0,0.0,0.0,9.0
DJM Short,24,17,4,0,141.1764705882353,S Mahmood,2.0,17.0,1.0,0.0,0.0,8.5
G Clark,30,22,3,1,136.36363636363635,RJ Gleeson,3.0,20.0,2.0,0.0,1.0,6.666666666666667
BA Raine,8,7,1,0,114.28571428571428,JP Faulkner,4.0,26.0,1.0,0.0,1.0,6.5
AZ Lees,39,37,2,0,105.40540540540539,LS Livingstone,3.0,21.0,2.0,0.0,0.0,7.0
PSP Handscomb,11,11,0,0,100.0,GJ Maxwell,3.0,15.0,0.0,0.0,0.0,5.0
SW Poynter,3,4,0,0,75.0,MW Parkinson,4.0,30.0,4.0,0.0,0.0,7.5
BA Carse,9,7,1,0,128.57142857142858,,,,,,,
L Trevaskis,1,2,0,0,50.0,,,,,,,
MJ Potts,3,3,0,0,100.0,,,,,,,
NJ Rimmington,2,3,0,0,66.66666666666666,,,,,,,
