batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
CO Thurston,3,9,0,0,33.33333333333333,BA Carse,4.0,35.0,1.0,0.0,1.0,8.75
AM Rossington,47,31,5,2,151.61290322580646,MJ Potts,3.0,11.0,2.0,0.0,3.0,3.6666666666666665
JJ Cobb,1,3,0,0,33.33333333333333,BA Raine,2.0,23.0,1.0,0.0,1.0,11.5
MT Coles,2,6,0,0,33.33333333333333,NJ Rimmington,4.0,25.0,1.0,0.0,2.0,6.25
AG Wakely,8,11,0,0,72.72727272727273,DJM Short,4.0,19.0,2.0,0.0,0.0,4.75
D Pretorius,19,16,1,1,118.75,L Trevaskis,3.0,25.0,1.0,0.0,1.0,8.333333333333334
RI Keogh,30,22,2,0,136.36363636363635,,,,,,,
Faheem Ashraf,1,4,0,0,25.0,,,,,,,
TB Sole,7,5,1,0,140.0,,,,,,,
GG White,11,11,2,0,100.0,,,,,,,
BW Sanderson,1,2,0,0,50.0,,,,,,,
