batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
DJM Short,29,21,1,2,138.0952380952381,DJ Willey,2.0,9.0,0.0,0.0,1.0,4.5
S Steel,49,42,2,1,116.66666666666667,TT Bresnan,2.0,21.0,0.0,0.0,0.0,10.5
HRD Adair,4,5,0,0,80.0,MW Pillans,1.0,11.0,0.0,0.0,0.0,11.0
PSP Handscomb,19,19,1,0,100.0,JA Thompson,1.0,19.0,0.0,0.0,2.0,19.0
GJ Harte,6,6,1,0,100.0,KA Maharaj,4.0,21.0,0.0,0.0,0.0,5.25
BA Carse,1,4,0,0,25.0,JW Shutt,4.0,11.0,5.0,0.0,0.0,2.75
G Clark,13,13,1,0,100.0,JA Leaning,2.0,15.0,1.0,0.0,0.0,7.5
BA Raine,1,2,0,0,50.0,A Lyth,3.0,19.0,3.0,0.0,0.0,6.333333333333333
L Trevaskis,0,1,0,0,0.0,,,,,,,
MJ Potts,1,1,0,0,100.0,,,,,,,
