batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
DJ Bell-Drummond,10,9,1,0,111.11111111111111,Mohammad Amir,4.0,29.0,2.0,0.0,0.0,7.25
Z Crawley,89,55,9,4,161.8181818181818,JA Porter,3.0,28.0,3.0,0.0,0.0,9.333333333333334
F du Plessis,32,21,1,2,152.38095238095238,A Zampa,4.0,42.0,2.0,0.0,0.0,10.5
SW Billings,7,6,0,0,116.66666666666667,RS Bopara,4.0,27.0,2.0,0.0,2.0,6.75
HG Kuhn,12,9,0,1,133.33333333333331,CS Delport,3.0,24.0,0.0,0.0,0.0,8.0
AJ Blake,7,7,1,0,100.0,SR Harmer,2.0,24.0,1.0,0.0,0.0,12.0
OG Robinson,1,2,0,0,50.0,,,,,,,
GC Viljoen,9,4,2,0,225.0,,,,,,,
Imran Qayyum,0,1,0,0,0.0,,,,,,,
ME Claydon,1,3,0,0,33.33333333333333,,,,,,,
FJ Klaassen,4,3,0,0,133.33333333333331,,,,,,,
