batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
F Baleri,6,9,1,0,66.66666666666666,SO Ngoche,4.0,20.0,2.0,0.0,0.0,5.0
R Bakum,17,14,2,1,121.42857142857142,E Otieno,3.0,14.0,1.0,0.0,1.0,4.666666666666667
S Ateak,15,21,2,0,71.42857142857143,LN Oluoch,2.0,6.0,2.0,0.0,0.0,3.0
JK Vifah,23,26,0,1,88.46153846153845,E Ochieng,2.0,12.0,0.0,0.0,0.0,6.0
IKO Aboagye,3,5,0,0,60.0,NM Odhiambo,4.0,21.0,0.0,0.0,1.0,5.25
DNA Ankrah,4,7,0,0,57.14285714285714,P Kerai,3.0,15.0,3.0,0.0,0.0,5.0
KS Bagabena,0,1,0,0,0.0,,,,,,,
DK Anefie,0,2,0,0,0.0,,,,,,,
G Bakiweyem,12,13,0,0,92.3076923076923,,,,,,,
M Aboagye,5,5,0,0,100.0,,,,,,,
V Ateak,1,2,0,0,50.0,,,,,,,
