batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
F Baleri,17,20,3,0,85.0,IO Okpe,3.0,15.0,0.0,0.0,1.0,5.0
R Bakum,10,11,0,1,90.9090909090909,Mohameed Taiwo,4.0,25.0,1.0,0.0,1.0,6.25
S Ateak,4,5,1,0,80.0,VD Adewoye,4.0,18.0,4.0,0.0,0.0,4.5
JK Vifah,8,9,1,0,88.88888888888889,I Danladi,3.0,10.0,2.0,0.0,0.0,3.3333333333333335
IKO Aboagye,0,4,0,0,0.0,CM Akachukwu,3.0,20.0,1.0,0.0,0.0,6.666666666666667
SL Perera,3,4,0,0,75.0,SA Okpe,2.0,8.0,0.0,0.0,3.0,4.0
DNA Ankrah,6,9,1,0,66.66666666666666,AM Oyede,1.0,8.0,0.0,0.0,0.0,8.0
DK Anefie,13,18,0,0,72.22222222222221,,,,,,,
KS Bagabena,23,23,1,0,100.0,,,,,,,
G Bakiweyem,15,17,0,0,88.23529411764706,,,,,,,
