batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
JM Vince,43,26,9,0,165.3846153846154,AG Salter,4.0,42.0,0.0,2.0,1.0,10.0
AHT Donald,8,7,1,0,114.28571428571428,P Sisodiya,4.0,45.0,1.0,0.0,1.0,11.25
SA Northeast,60,41,5,2,146.34146341463415,RAJ Smith,4.0,30.0,1.0,2.0,0.0,7.0
RR Rossouw,24,20,2,0,120.0,RI Walker,4.0,39.0,3.0,4.0,0.0,8.75
JK Fuller,10,9,0,0,111.11111111111111,M de Lange,3.0,24.0,2.0,0.0,0.0,8.0
LA Dawson,22,12,3,0,183.33333333333331,DL Lloyd,1.0,6.0,1.0,0.0,0.0,6.0
LD McManus,4,4,0,0,100.0,,,,,,,
CP Wood,0,1,0,0,0.0,,,,,,,
KJ Abbott,2,2,0,0,100.0,,,,,,,
MS Crane,3,2,0,0,150.0,,,,,,,
