batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
DL Lloyd,27,32,2,0,84.375,TG Helm,4.0,41.0,2.0,2.0,0.0,9.75
Fakhar Zaman,0,3,0,0,0.0,Mujeeb Ur Rahman,4.0,17.0,0.0,0.0,0.0,4.25
CA Ingram,15,11,3,0,136.36363636363635,TS Roland-Jones,4.0,21.0,5.0,0.0,1.0,5.25
WT Root,24,21,3,0,114.28571428571428,NA Sowter,4.0,28.0,1.0,0.0,1.0,7.0
AO Morgan,11,15,0,1,73.33333333333333,ST Finn,4.0,24.0,2.0,0.0,1.0,6.0
CB Cooke,29,16,2,2,181.25,,,,,,,
DA Douthwaite,16,14,1,1,114.28571428571428,,,,,,,
GG Wagg,4,4,1,0,100.0,,,,,,,
M de Lange,0,1,0,0,0.0,,,,,,,
AG Salter,0,1,0,0,0.0,,,,,,,
