batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
DJ Bell-Drummond,62,56,6,0,110.71428571428572,DA Payne,4.0,25.0,2.0,0.0,0.0,6.25
Z Crawley,0,1,0,0,0.0,AJ Tye,4.0,24.0,2.0,0.0,0.0,6.0
OG Robinson,11,12,2,0,91.66666666666666,CJ Liddle,4.0,23.0,2.0,0.0,3.0,5.75
HG Kuhn,23,24,1,1,95.83333333333334,BAC Howell,4.0,20.0,1.0,0.0,2.0,5.0
Mohammad Nabi,3,5,0,0,60.0,TMJ Smith,4.0,30.0,0.0,0.0,0.0,7.5
AJ Blake,2,3,0,0,66.66666666666666,,,,,,,
JM Cox,7,11,1,0,63.63636363636363,,,,,,,
AF Milne,3,3,0,0,100.0,,,,,,,
FJ Klaassen,3,2,0,0,150.0,,,,,,,
GC Viljoen,3,3,0,0,100.0,,,,,,,
