batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
SS Eskinazi,40,26,6,0,153.84615384615387,DA Payne,4.0,32.0,3.0,0.0,0.0,8.0
DJ Malan,6,3,0,1,200.0,GL van Buuren,2.0,15.0,1.0,0.0,1.0,7.5
DJ Lincoln,30,24,4,1,125.0,RF Higgins,4.0,23.0,2.0,0.0,0.0,5.75
NRT Gubbins,1,5,0,0,20.0,AJ Tye,4.0,23.0,2.0,0.0,0.0,5.75
GFB Scott,2,6,0,0,33.33333333333333,BAC Howell,4.0,40.0,1.0,0.0,1.0,10.0
JA Simpson,42,29,1,2,144.82758620689654,TMJ Smith,2.0,12.0,0.0,0.0,1.0,6.0
TS Roland-Jones,14,18,1,0,77.77777777777779,,,,,,,
TG Helm,2,4,0,0,50.0,,,,,,,
NA Sowter,4,2,1,0,200.0,,,,,,,
Mujeeb Ur Rahman,0,1,0,0,0.0,,,,,,,
ST Finn,1,2,0,0,50.0,,,,,,,
