batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
T Banton,10,7,0,1,142.85714285714286,DA Payne,4.0,38.0,1.0,0.0,0.0,9.5
Babar Azam,44,29,6,0,151.72413793103448,AJ Tye,4.0,35.0,2.0,0.0,1.0,8.75
JC Hildreth,40,29,4,0,137.93103448275863,CJ Liddle,2.0,27.0,0.0,0.0,5.0,13.5
EJ Byrom,5,6,0,0,83.33333333333334,TMJ Smith,4.0,19.0,3.0,0.0,0.0,4.75
TB Abell,2,5,0,0,40.0,RF Higgins,3.0,15.0,2.0,0.0,1.0,5.0
C Overton,1,3,0,0,33.33333333333333,GL van Buuren,3.0,27.0,2.0,2.0,1.0,8.333333333333334
TA Lammonby,31,17,2,2,182.35294117647058,,,,,,,
RE van der Merwe,17,15,1,0,113.33333333333333,,,,,,,
JE Taylor,1,3,0,0,33.33333333333333,,,,,,,
TD Groenewald,0,2,0,0,0.0,,,,,,,
MTC Waller,0,2,0,0,0.0,,,,,,,
