batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
ND Laegsgaard,26,28,1,1,92.85714285714286,TCW Veillard,4.0,15.0,1.0,0.0,0.0,3.75
HAM Shah,16,15,3,0,106.66666666666667,W Peatfield,4.0,23.0,3.0,0.0,0.0,5.75
Anique Uddin,1,2,0,0,50.0,JL Martel,4.0,19.0,1.0,0.0,0.0,4.75
T Bharaj,19,27,0,0,70.37037037037037,LC Le Tissier,4.0,22.0,2.0,0.0,1.0,5.5
OD Hald,1,6,0,0,16.666666666666664,DR Hooper,4.0,28.0,0.0,0.0,1.0,7.0
Zishan Shah,6,12,0,0,50.0,,,,,,,
J Jojo,13,10,0,1,130.0,,,,,,,
Delawar Khan,16,10,0,2,160.0,,,,,,,
Abdul Hashim,5,8,0,0,62.5,,,,,,,
Omar Hayat,1,1,0,0,100.0,,,,,,,
Bashir Shah,1,1,0,0,100.0,,,,,,,
