batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
AS Wright,43,36,3,3,119.44444444444444,Izatullah Dawlatzai,4.0,19.0,1.0,1.0,1.0,4.5
MWR Stokes,18,19,2,0,94.73684210526315,CAJ Meschede,4.0,24.0,0.0,0.0,1.0,6.0
J Butler,10,9,1,0,111.11111111111111,Ahmed Wardak,4.0,20.0,4.0,0.0,0.0,5.0
DR Hooper,10,16,0,0,62.5,Muslim Yar,2.0,26.0,2.0,0.0,0.0,13.0
LJ Barker,18,16,2,0,112.5,Asad Mohammad,4.0,15.0,0.0,0.0,0.0,3.75
LB Ferbrache,4,7,0,0,57.14285714285714,V Ganesan,2.0,10.0,1.0,0.0,0.0,5.0
TCR Kimber,2,5,0,0,40.0,,,,,,,
LC Le Tissier,2,3,0,0,66.66666666666666,,,,,,,
ACF Stokes,0,2,0,0,0.0,,,,,,,
TCW Veillard,3,5,0,0,60.0,,,,,,,
W Peatfield,1,2,0,0,50.0,,,,,,,
