batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
BBJL Perera,47,28,4,3,167.85714285714286,TCW Veillard,4.0,30.0,1.0,0.0,0.0,7.5
Manpreet Singh,22,29,1,1,75.86206896551724,W Peatfield,4.0,27.0,1.0,0.0,1.0,6.75
NA Maiolo,7,10,0,0,70.0,ACF Stokes,4.0,30.0,1.0,0.0,1.0,7.5
GP Meade,6,4,1,0,150.0,DR Hooper,4.0,13.0,2.0,0.0,0.0,3.25
MJ Ross,6,7,1,0,85.71428571428571,LC Le Tissier,4.0,17.0,3.0,0.0,1.0,4.25
Anam Mollik,9,10,1,0,90.0,,,,,,,
Rakibul Hasan,5,3,1,0,166.66666666666669,,,,,,,
GRD Munasinghe,1,4,0,0,25.0,,,,,,,
Baljit Singh,3,10,0,0,30.0,,,,,,,
Charanjeet Singh,8,9,1,0,88.88888888888889,,,,,,,
S Arachchige,0,2,0,0,0.0,,,,,,,
