batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
AD Hales,0,1,0,0,0.0,C Hemraj,2.0,10.0,1.0,0.0,0.0,5.0
J Charles,19,13,4,0,146.15384615384613,CJ Green,4.0,38.0,0.0,0.0,2.0,9.5
LS Boucher,16,14,3,0,114.28571428571428,Shadab Khan,4.0,39.0,2.0,0.0,0.0,9.75
JP Duminy,20,16,2,0,125.0,Shoaib Malik,1.0,5.0,1.0,0.0,0.0,5.0
JL Carter,2,3,0,0,66.66666666666666,OF Smith,1.0,12.0,0.0,0.0,1.0,12.0
JO Holder,4,5,0,0,80.0,KMA Paul,2.0,11.0,1.0,0.0,1.0,5.5
AR Nurse,40,25,3,3,160.0,R Shepherd,3.0,13.0,4.0,0.0,1.0,4.333333333333333
RS Primus,14,13,1,0,107.6923076923077,,,,,,,
RA Reifer,0,1,0,0,0.0,,,,,,,
JK Lalor,8,7,1,0,114.28571428571428,,,,,,,
S Lamichhane,0,2,0,0,0.0,,,,,,,
