batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
CH Gayle,0,1,0,0,0.0,CJ Green,4.0,20.0,1.0,0.0,2.0,5.0
GD Phillips,21,28,3,0,75.0,Imran Tahir,4.0,12.0,3.0,0.0,1.0,3.0
CAK Walton,8,14,1,0,57.14285714285714,C Hemraj,3.0,16.0,1.0,0.0,0.0,5.333333333333333
Liton Das,21,25,2,0,84.0,Qais Ahmad,4.0,20.0,2.0,0.0,1.0,5.0
TA Griffith,11,11,2,0,100.0,KMA Paul,1.0,2.0,2.0,0.0,0.0,2.0
DR Smith,2,5,0,0,40.0,Shoaib Malik,1.0,7.0,1.0,0.0,0.0,7.0
I Khan (2),0,1,0,0,0.0,,,,,,,
SA Jacobs,1,6,0,0,16.666666666666664,,,,,,,
DC Green,1,2,0,0,50.0,,,,,,,
O Thomas,2,4,0,0,50.0,,,,,,,
Zahir Khan,6,2,0,1,300.0,,,,,,,
