batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
ADS Fletcher,8,10,0,1,80.0,KMA Paul,4.0,39.0,0.0,0.0,0.0,9.75
RRS Cornwall,36,14,7,1,257.14285714285717,CJ Green,4.0,28.0,2.0,0.0,1.0,7.0
AM McCarthy,7,7,1,0,100.0,Shadab Khan,4.0,16.0,3.0,0.0,0.0,4.0
Najibullah Zadran,23,21,3,1,109.52380952380953,B Laughlin,4.0,39.0,1.0,0.0,0.0,9.75
CD Barnwell,7,8,1,0,87.5,R Shepherd,4.0,18.0,2.0,0.0,0.0,4.5
NLTC Perera,8,14,0,0,57.14285714285714,,,,,,,
DJG Sammy,18,17,1,1,105.88235294117648,,,,,,,
KOK Williams,6,8,0,0,75.0,,,,,,,
OC McCoy,8,5,0,1,160.0,,,,,,,
K Santokie,15,9,1,1,166.66666666666669,,,,,,,
Fawad Ahmed,3,7,0,0,42.857142857142854,,,,,,,
