batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
DL Lloyd,26,29,1,1,89.65517241379311,CP Wood,3.0,10.0,1.0,0.0,0.0,3.3333333333333335
Fakhar Zaman,0,2,0,0,0.0,KJ Abbott,2.0,16.0,1.0,0.0,1.0,8.0
CA Ingram,12,13,2,0,92.3076923076923,CH Morris,3.0,21.0,2.0,0.0,1.0,7.0
WT Root,5,6,0,0,83.33333333333334,LA Dawson,4.0,11.0,3.0,0.0,0.0,2.75
CB Cooke,2,5,0,0,40.0,MS Crane,4.0,22.0,3.0,0.0,0.0,5.5
JL Lawlor,9,11,1,0,81.81818181818183,,,,,,,
DA Douthwaite,2,7,0,0,28.57142857142857,,,,,,,
M de Lange,12,8,2,0,150.0,,,,,,,
GG Wagg,2,4,0,0,50.0,,,,,,,
LJ Carey,5,6,1,0,83.33333333333334,,,,,,,
AG Salter,3,2,0,0,150.0,,,,,,,
