batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
DJ Bell-Drummond,2,5,0,0,40.0,CP Wood,4.0,37.0,1.0,0.0,0.0,9.25
Z Crawley,8,11,0,0,72.72727272727273,CH Morris,4.0,29.0,1.0,0.0,1.0,7.25
OG Robinson,20,14,2,1,142.85714285714286,LA Dawson,4.0,25.0,2.0,0.0,0.0,6.25
Mohammad Nabi,4,4,1,0,100.0,KJ Abbott,4.0,22.0,3.0,0.0,0.0,5.5
SR Dickson,17,18,0,0,94.44444444444444,MS Crane,4.0,32.0,1.0,0.0,0.0,8.0
AJ Blake,57,38,2,4,150.0,,,,,,,
JM Cox,10,11,1,0,90.9090909090909,,,,,,,
AF Milne,16,9,1,1,177.77777777777777,,,,,,,
GC Viljoen,9,6,1,0,150.0,,,,,,,
Imran Qayyum,1,3,0,0,33.33333333333333,,,,,,,
