batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
MS Harris,3,7,0,0,42.857142857142854,RP Meredith,3.0,43.0,1.0,3.0,9.0,13.333333333333334
AJ Finch,35,28,6,0,125.0,JC Archer,4.0,19.0,2.0,0.0,1.0,4.75
SB Harper,20,12,3,0,166.66666666666669,CA Rose,2.0,16.0,0.0,0.0,0.0,8.0
TLW Cooper,44,34,4,1,129.41176470588235,DJM Moody,3.0,29.0,1.0,1.0,2.0,9.333333333333334
Mohammad Nabi,3,4,0,0,75.0,Qais Ahmad,4.0,34.0,2.0,0.0,0.0,8.5
DT Christian,15,18,1,0,83.33333333333334,DJM Short,4.0,20.0,2.0,0.0,0.0,5.0
MW Harvey,15,8,0,2,187.5,,,,,,,
CJ Boyce,3,6,0,0,50.0,,,,,,,
KW Richardson,6,6,0,0,100.0,,,,,,,
CP Tremain,1,1,0,0,100.0,,,,,,,
