batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
SB Harper,0,3,0,0,0.0,JP Faulkner,3.0,26.0,3.0,0.0,0.0,8.666666666666666
AJ Finch,50,37,6,0,135.13513513513513,CA Rose,4.0,37.0,0.0,0.0,0.0,9.25
SE Marsh,37,30,5,1,123.33333333333334,NT Ellis,3.0,15.0,3.0,0.0,0.0,5.0
MS Harris,20,15,0,1,133.33333333333331,RP Meredith,4.0,26.0,3.0,0.0,2.0,6.5
BJ Webster,11,11,0,0,100.0,Qais Ahmad,4.0,23.0,1.0,0.0,0.0,5.75
DT Christian,12,7,2,0,171.42857142857142,DJM Short,1.0,13.0,0.0,0.0,0.0,13.0
TLW Cooper,1,2,0,0,50.0,,,,,,,
CJ Boyce,5,5,0,0,100.0,,,,,,,
KW Richardson,2,3,0,0,66.66666666666666,,,,,,,
RJ Gleeson,0,1,0,0,0.0,,,,,,,
HF Gurney,0,1,0,0,0.0,,,,,,,
