batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Ahsan Abbasi,11,14,1,0,78.57142857142857,MR Adair,4.0,32.0,1.0,0.0,3.0,8.0
Nizakat Khan,5,7,0,0,71.42857142857143,GJ Delany,4.0,27.0,2.0,0.0,1.0,6.75
KD Shah,8,9,0,1,88.88888888888889,Simi Singh,2.0,9.0,1.0,0.0,0.0,4.5
SS McKechnie,13,17,1,0,76.47058823529412,SR Thompson,4.0,25.0,2.0,0.0,3.0,6.25
Waqas Barkat,13,15,0,0,86.66666666666667,WB Rankin,4.0,21.0,2.0,0.0,0.0,5.25
Haroon Arshad,45,27,4,2,166.66666666666669,PR Stirling,2.0,25.0,0.0,0.0,1.0,12.5
Raag Kapur,3,5,0,0,60.0,,,,,,,
Ehsan Khan,28,19,2,2,147.36842105263156,,,,,,,
Nasrulla Rana,0,1,0,0,0.0,,,,,,,
Mohammad Ghazanfar,4,5,0,0,80.0,,,,,,,
K Christie,1,1,0,0,100.0,,,,,,,
