batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Sulaimon Runsewe,17,18,2,0,94.44444444444444,K Christie,4.0,23.0,1.0,0.0,0.0,5.75
D Ajekun,14,22,1,1,63.63636363636363,Aizaz Khan,2.0,5.0,2.0,0.0,0.0,2.5
CN Onwuzulike,0,1,0,0,0.0,Nasrulla Rana,2.0,10.0,0.0,1.0,1.0,4.5
AA Onikoyi,18,35,1,0,51.42857142857142,Haroon Arshad,1.0,11.0,0.0,0.0,0.0,11.0
Gershon Yusuf,0,1,0,0,0.0,Mohammad Ghazanfar,4.0,11.0,2.0,0.0,0.0,2.75
JO Adedeji,8,15,0,0,53.333333333333336,Ehsan Khan,4.0,8.0,1.0,0.0,0.0,2.0
IO Okpe,12,14,1,0,85.71428571428571,Waqas Barkat,3.0,13.0,2.0,0.0,0.0,4.333333333333333
VD Adewoye,2,3,0,0,66.66666666666666,,,,,,,
D Gim,7,10,0,0,70.0,,,,,,,
SA Okpe,1,2,0,0,50.0,,,,,,,
