batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Liton Das,9,8,2,0,112.5,KK Ahmed,4.0,27.0,0.0,0.0,2.0,6.75
Mohammad Naim,81,48,10,2,168.75,Washington Sundar,4.0,34.0,0.0,0.0,0.0,8.5
Soumya Sarkar,0,1,0,0,0.0,DL Chahar,4.0,7.0,6.0,0.0,0.0,1.75
Mohammad Mithun,27,29,2,1,93.10344827586206,YS Chahal,4.0,43.0,1.0,0.0,0.0,10.75
Mushfiqur Rahim,0,1,0,0,0.0,S Dube,4.0,30.0,3.0,0.0,0.0,7.5
Mahmudullah,8,10,0,0,80.0,,,,,,,
Afif Hossain,0,1,0,0,0.0,,,,,,,
Aminul Islam Biplob,9,9,1,0,100.0,,,,,,,
Shafiul Islam,4,6,0,0,66.66666666666666,,,,,,,
Mustafizur Rahman,1,3,0,0,33.33333333333333,,,,,,,
