batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
S Dhawan,36,25,3,2,144.0,BC Fortuin,3.0,19.0,2.0,0.0,1.0,6.333333333333333
RG Sharma,9,8,2,0,112.5,K Rabada,4.0,39.0,3.0,0.0,8.0,9.75
V Kohli,9,15,0,0,60.0,BE Hendricks,4.0,14.0,2.0,0.0,3.0,3.5
RR Pant,19,20,1,1,95.0,AL Phehlukwayo,4.0,28.0,0.0,0.0,0.0,7.0
SS Iyer,5,8,0,0,62.5,T Shamsi,4.0,23.0,1.0,0.0,0.0,5.75
HH Pandya,14,18,1,0,77.77777777777779,D Pretorius,1.0,8.0,0.0,0.0,0.0,8.0
KH Pandya,4,7,0,0,57.14285714285714,,,,,,,
RA Jadeja,19,17,1,1,111.76470588235294,,,,,,,
Washington Sundar,4,1,1,0,400.0,,,,,,,
NA Saini,0,1,0,0,0.0,,,,,,,
