batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
JD Campbell,0,2,0,0,0.0,Washington Sundar,2.0,18.0,1.0,0.0,5.0,9.0
E Lewis,0,4,0,0,0.0,B Kumar,4.0,19.0,2.0,0.0,1.0,4.75
N Pooran,20,16,1,2,125.0,NA Saini,4.0,17.0,3.0,0.0,2.0,4.25
KA Pollard,49,49,2,4,100.0,KK Ahmed,2.0,8.0,1.0,0.0,0.0,4.0
SO Hetmyer,0,1,0,0,0.0,KH Pandya,4.0,20.0,1.0,0.0,0.0,5.0
R Powell,4,5,1,0,80.0,RA Jadeja,4.0,13.0,1.0,0.0,0.0,3.25
CR Brathwaite,9,24,0,0,37.5,,,,,,,
SP Narine,2,4,0,0,50.0,,,,,,,
KMA Paul,3,11,0,0,27.27272727272727,,,,,,,
SS Cottrell,0,1,0,0,0.0,,,,,,,
O Thomas,0,3,0,0,0.0,,,,,,,
