batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
LMP Simmons,7,11,1,0,63.63636363636363,DL Chahar,4.0,20.0,2.0,0.0,1.0,5.0
BA King,5,4,1,0,125.0,B Kumar,4.0,41.0,2.0,0.0,1.0,10.25
SO Hetmyer,41,24,1,5,170.83333333333331,Mohammed Shami,4.0,25.0,2.0,0.0,0.0,6.25
N Pooran,0,1,0,0,0.0,S Dube,3.0,32.0,0.0,0.0,1.0,10.666666666666666
KA Pollard,68,39,5,6,174.35897435897436,Kuldeep Yadav,4.0,45.0,2.0,0.0,1.0,11.25
JO Holder,8,5,1,0,160.0,Washington Sundar,1.0,5.0,0.0,0.0,1.0,5.0
HR Walsh,11,13,1,0,84.61538461538461,,,,,,,
K Pierre,6,12,0,0,50.0,,,,,,,
KOK Williams,13,7,1,1,185.71428571428572,,,,,,,
SS Cottrell,4,4,1,0,100.0,,,,,,,
