batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
H Carlyon,0,4,0,0,0.0,MR Adair,4.0,10.0,3.0,0.0,0.0,2.5
NA Greenwood,15,15,3,0,100.0,WB Rankin,4.0,30.0,1.0,0.0,1.0,7.5
BDH Stevens,25,25,4,0,100.0,GJ Delany,4.0,19.0,1.0,0.0,1.0,4.75
JW Jenner,0,2,0,0,0.0,DC Delany,3.0,12.0,2.0,0.0,0.0,4.0
JE Dunford,0,1,0,0,0.0,CA Young,3.0,11.0,1.0,0.0,0.0,3.6666666666666665
B Ward,12,21,0,0,57.14285714285714,GH Dockrell,2.0,16.0,1.0,0.0,0.0,8.0
DG Blampied,20,25,0,0,80.0,,,,,,,
C Bisson,1,3,0,0,33.33333333333333,,,,,,,
AW Hawkins-Kay,10,10,1,0,100.0,,,,,,,
CW Perchard,8,10,0,0,80.0,,,,,,,
EJB Miles,5,4,0,0,125.0,,,,,,,
