batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
PR Stirling,25,21,4,0,119.04761904761905,Z Groenewald,4.0,20.0,2.0,0.0,0.0,5.0
KJ O'Brien,17,14,0,1,121.42857142857142,C Viljoen,1.0,9.0,0.0,0.0,0.0,9.0
A Balbirnie,46,35,5,0,131.42857142857142,JJ Smit,3.0,19.0,3.0,0.0,0.0,6.333333333333333
GJ Delany,4,6,0,0,66.66666666666666,B Shikongo,1.0,6.0,1.0,0.0,0.0,6.0
HT Tector,7,7,0,0,100.0,CG Williams,4.0,34.0,3.0,0.0,0.0,8.5
GC Wilson,11,12,0,0,91.66666666666666,BM Scholtz,4.0,29.0,1.0,0.0,0.0,7.25
SC Getkate,6,7,0,0,85.71428571428571,MG Erasmus,2.0,18.0,0.0,0.0,1.0,9.0
MR Adair,17,7,0,2,242.85714285714283,,,,,,,
Simi Singh,0,3,0,0,0.0,,,,,,,
CA Young,1,2,0,0,50.0,,,,,,,
WB Rankin,0,1,0,0,0.0,,,,,,,
