batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
TP Visee,78,36,12,3,216.66666666666666,PKD Chase,2.0,32.0,0.0,3.0,2.0,14.5
MP O'Dowd,38,32,5,0,118.75,J Little,4.0,36.0,0.0,0.0,0.0,9.0
BN Cooper,18,21,1,0,85.71428571428571,WB Rankin,3.0,27.0,2.0,0.0,0.0,9.0
W Barresi,3,4,0,0,75.0,GH Dockrell,3.0,26.0,1.0,0.0,8.0,8.666666666666666
RN ten Doeschate,0,1,0,0,0.0,Simi Singh,1.0,17.0,0.0,0.0,0.0,17.0
RE van der Merwe,0,1,0,0,0.0,SC Getkate,1.0,12.0,0.0,0.0,0.0,12.0
Sikander Zulfiqar,4,3,1,0,133.33333333333331,PR Stirling,3.0,13.0,1.0,0.0,0.0,4.333333333333333
PM Seelaar,8,12,0,0,66.66666666666666,SR Thompson,3.0,18.0,4.0,0.0,0.0,6.0
T van der Gugten,11,8,2,0,137.5,,,,,,,
FJ Klaassen,9,4,2,0,225.0,,,,,,,
